[22:08:12] === bulk seed generation starting (target=6000, workers=4, batch=5) ===
[22:08:12] existing accepted seeds: 0 | {}
[22:08:12] prepared 1200 batches across categories
[22:09:05]   +5 [partial_knowledge] ; total=5 ; rate=6/min ; 1/1200 batches
[22:26:36]   +5 [partial_knowledge] ; total=340 ; rate=21/min ; 68/1993 batches
[22:26:55]   +5 [partial_knowledge] ; total=345 ; rate=21/min ; 69/1993 batches
[22:27:03]   +5 [partial_knowledge] ; total=350 ; rate=21/min ; 70/1993 batches
[22:27:23]   +5 [partial_knowledge] ; total=355 ; rate=21/min ; 71/1993 batches
[22:27:30]   +5 [partial_knowledge] ; total=360 ; rate=21/min ; 72/1993 batches
[22:27:49]   +5 [partial_knowledge] ; total=365 ; rate=21/min ; 73/1993 batches
[22:27:51]   +5 [partial_knowledge] ; total=370 ; rate=21/min ; 74/1993 batches
[22:28:18]   +5 [partial_knowledge] ; total=375 ; rate=21/min ; 75/1993 batches
[22:28:20]   +5 [partial_knowledge] ; total=380 ; rate=21/min ; 76/1993 batches
[22:28:40]   +5 [partial_knowledge] ; total=385 ; rate=21/min ; 77/1993 batches
[22:28:44]   +5 [partial_knowledge] ; total=390 ; rate=22/min ; 78/1993 batches
[22:29:11]   +5 [partial_knowledge] ; total=395 ; rate=21/min ; 79/1993 batches
[22:29:17]   +5 [partial_knowledge] ; total=400 ; rate=21/min ; 80/1993 batches
[22:29:33]   +5 [partial_knowledge] ; total=405 ; rate=21/min ; 81/1993 batches
[22:29:50]   +5 [partial_knowledge] ; total=410 ; rate=21/min ; 82/1993 batches
[22:30:17]   +5 [partial_knowledge] ; total=415 ; rate=21/min ; 83/1993 batches
[22:30:17]   +5 [partial_knowledge] ; total=420 ; rate=21/min ; 84/1993 batches
[22:30:29]   +5 [partial_knowledge] ; total=425 ; rate=21/min ; 85/1993 batches
[22:30:44]   +5 [partial_knowledge] ; total=430 ; rate=21/min ; 86/1993 batches
[22:31:13]   +5 [partial_knowledge] ; total=435 ; rate=21/min ; 87/1993 batches
[22:31:19]   +5 [partial_knowledge] ; total=440 ; rate=21/min ; 88/1993 batches
[22:31:21]   +5 [partial_knowledge] ; total=445 ; rate=21/min ; 89/1993 batches
[22:31:38]   +5 [partial_knowledge] ; total=450 ; rate=21/min ; 90/1993 batches
[22:32:11]   +5 [partial_knowledge] ; total=455 ; rate=21/min ; 91/1993 batches
[22:32:12]   +5 [partial_knowledge] ; total=460 ; rate=21/min ; 92/1993 batches
[22:32:21]   +5 [partial_knowledge] ; total=465 ; rate=21/min ; 93/1993 batches
[22:32:31]   +5 [partial_knowledge] ; total=470 ; rate=21/min ; 94/1993 batches
[22:33:05]   +5 [partial_knowledge] ; total=475 ; rate=21/min ; 95/1993 batches
[22:33:10]   +5 [partial_knowledge] ; total=480 ; rate=21/min ; 96/1993 batches
[22:33:28]   +5 [partial_knowledge] ; total=485 ; rate=21/min ; 97/1993 batches
[22:33:29]   +5 [partial_knowledge] ; total=490 ; rate=21/min ; 98/1993 batches
[22:33:59]   +5 [partial_knowledge] ; total=495 ; rate=21/min ; 99/1993 batches
[22:34:12]   +5 [partial_knowledge] ; total=500 ; rate=21/min ; 100/1993 batches
[22:34:21]   +5 [partial_knowledge] ; total=505 ; rate=21/min ; 101/1993 batches
[22:34:25]   +5 [partial_knowledge] ; total=510 ; rate=21/min ; 102/1993 batches
[22:34:57]   +5 [partial_knowledge] ; total=515 ; rate=21/min ; 103/1993 batches
[22:35:07]   +5 [partial_knowledge] ; total=520 ; rate=21/min ; 104/1993 batches
[22:35:17]   +5 [partial_knowledge] ; total=525 ; rate=21/min ; 105/1993 batches
[22:35:19]   +5 [partial_knowledge] ; total=530 ; rate=21/min ; 106/1993 batches
[22:35:57]   +5 [partial_knowledge] ; total=535 ; rate=21/min ; 107/1993 batches
[22:36:00]   +5 [partial_knowledge] ; total=540 ; rate=21/min ; 108/1993 batches
[22:36:08]   +5 [partial_knowledge] ; total=545 ; rate=21/min ; 109/1993 batches
[22:36:13]   +5 [partial_knowledge] ; total=550 ; rate=21/min ; 110/1993 batches
[22:36:53]   +5 [partial_knowledge] ; total=555 ; rate=21/min ; 111/1993 batches
[22:36:55]   +5 [partial_knowledge] ; total=560 ; rate=21/min ; 112/1993 batches
[22:37:00]   +5 [partial_knowledge] ; total=565 ; rate=21/min ; 113/1993 batches
[22:37:11]   +5 [partial_knowledge] ; total=570 ; rate=21/min ; 114/1993 batches
[22:37:44]   +5 [partial_knowledge] ; total=575 ; rate=21/min ; 115/1993 batches
[22:37:54]   +5 [partial_knowledge] ; total=580 ; rate=21/min ; 116/1993 batches
[22:37:57]   +5 [partial_knowledge] ; total=585 ; rate=21/min ; 117/1993 batches
[22:38:12]   +5 [partial_knowledge] ; total=590 ; rate=21/min ; 118/1993 batches
[22:38:37]   +5 [partial_knowledge] ; total=595 ; rate=21/min ; 119/1993 batches
[22:38:56]   +5 [partial_knowledge] ; total=600 ; rate=21/min ; 120/1993 batches
[22:38:58]   +5 [partial_knowledge] ; total=605 ; rate=21/min ; 121/1993 batches
[22:39:04]   +5 [partial_knowledge] ; total=610 ; rate=21/min ; 122/1993 batches
[22:39:34]   +5 [partial_knowledge] ; total=615 ; rate=21/min ; 123/1993 batches
[22:39:46]   +5 [partial_knowledge] ; total=620 ; rate=21/min ; 124/1993 batches
[22:39:54]   +5 [partial_knowledge] ; total=625 ; rate=21/min ; 125/1993 batches
[22:39:57]   +5 [partial_knowledge] ; total=630 ; rate=21/min ; 126/1993 batches
[22:40:29]   +5 [partial_knowledge] ; total=635 ; rate=21/min ; 127/1993 batches
[22:40:39]   +5 [partial_knowledge] ; total=640 ; rate=21/min ; 128/1993 batches
[22:40:53]   +5 [partial_knowledge] ; total=645 ; rate=21/min ; 129/1993 batches
[22:40:54]   +5 [partial_knowledge] ; total=650 ; rate=21/min ; 130/1993 batches
[22:41:20]   +5 [partial_knowledge] ; total=655 ; rate=21/min ; 131/1993 batches
[22:41:37]   +5 [partial_knowledge] ; total=660 ; rate=21/min ; 132/1993 batches
[22:41:53]   +5 [partial_knowledge] ; total=665 ; rate=21/min ; 133/1993 batches
[22:42:00]   +5 [partial_knowledge] ; total=670 ; rate=21/min ; 134/1993 batches
[22:42:14]   +5 [partial_knowledge] ; total=675 ; rate=21/min ; 135/1993 batches
[22:42:35]   +5 [partial_knowledge] ; total=680 ; rate=21/min ; 136/1993 batches
[22:42:48]   +5 [partial_knowledge] ; total=685 ; rate=21/min ; 137/1993 batches
[22:42:54]   +5 [partial_knowledge] ; total=690 ; rate=21/min ; 138/1993 batches
[22:43:14]   +5 [partial_knowledge] ; total=695 ; rate=21/min ; 139/1993 batches
[22:43:33]   +5 [partial_knowledge] ; total=700 ; rate=21/min ; 140/1993 batches
[22:43:36]   +5 [partial_knowledge] ; total=705 ; rate=21/min ; 141/1993 batches
[22:43:46]   +5 [partial_knowledge] ; total=710 ; rate=21/min ; 142/1993 batches
[22:44:12]   +5 [partial_knowledge] ; total=715 ; rate=21/min ; 143/1993 batches
[22:44:27]   +5 [partial_knowledge] ; total=720 ; rate=21/min ; 144/1993 batches
[22:44:30]   +5 [partial_knowledge] ; total=725 ; rate=21/min ; 145/1993 batches
[22:44:39]   +5 [partial_knowledge] ; total=730 ; rate=21/min ; 146/1993 batches
[22:45:10]   +5 [partial_knowledge] ; total=735 ; rate=21/min ; 147/1993 batches
[22:45:17]   +5 [partial_knowledge] ; total=740 ; rate=21/min ; 148/1993 batches
[22:45:25]   +5 [partial_knowledge] ; total=745 ; rate=21/min ; 149/1993 batches
[22:45:31]   +5 [partial_knowledge] ; total=750 ; rate=22/min ; 150/1993 batches
[22:46:03]   +5 [partial_knowledge] ; total=755 ; rate=21/min ; 151/1993 batches
[22:46:03]   +5 [partial_knowledge] ; total=760 ; rate=21/min ; 152/1993 batches
[22:46:17]   +5 [partial_knowledge] ; total=765 ; rate=21/min ; 153/1993 batches
[22:46:26]   +5 [partial_knowledge] ; total=770 ; rate=22/min ; 154/1993 batches
[22:46:53]   +5 [partial_knowledge] ; total=775 ; rate=21/min ; 155/1993 batches
[22:46:59]   +5 [partial_knowledge] ; total=780 ; rate=21/min ; 156/1993 batches
[22:47:14]   +5 [partial_knowledge] ; total=785 ; rate=21/min ; 157/1993 batches
[22:47:22]   +5 [partial_knowledge] ; total=790 ; rate=22/min ; 158/1993 batches
[22:47:46]   +5 [partial_knowledge] ; total=795 ; rate=21/min ; 159/1993 batches
[22:47:49]   +5 [partial_knowledge] ; total=800 ; rate=22/min ; 160/1993 batches
[22:48:02]   +5 [partial_knowledge] ; total=805 ; rate=22/min ; 161/1993 batches
[22:48:15]   +5 [partial_knowledge] ; total=810 ; rate=22/min ; 162/1993 batches
[22:48:38]   +5 [partial_knowledge] ; total=815 ; rate=21/min ; 163/1993 batches
[22:48:43]   +5 [partial_knowledge] ; total=820 ; rate=22/min ; 164/1993 batches
[22:49:03]   +5 [partial_knowledge] ; total=825 ; rate=21/min ; 165/1993 batches
[22:49:13]   +5 [partial_knowledge] ; total=830 ; rate=22/min ; 166/1993 batches
[22:49:31]   +5 [partial_knowledge] ; total=835 ; rate=21/min ; 167/1993 batches
[22:49:36]   +5 [partial_knowledge] ; total=840 ; rate=22/min ; 168/1993 batches
[22:49:51]   +5 [partial_knowledge] ; total=845 ; rate=22/min ; 169/1993 batches
[22:50:13]   +5 [partial_knowledge] ; total=850 ; rate=21/min ; 170/1993 batches
[22:50:26]   +5 [partial_knowledge] ; total=855 ; rate=21/min ; 171/1993 batches
[22:50:30]   +5 [partial_knowledge] ; total=860 ; rate=22/min ; 172/1993 batches
[22:50:52]   +5 [partial_knowledge] ; total=865 ; rate=22/min ; 173/1993 batches
[22:51:09]   +5 [partial_knowledge] ; total=870 ; rate=21/min ; 174/1993 batches
[22:51:20]   +5 [partial_knowledge] ; total=875 ; rate=22/min ; 175/1993 batches
[22:51:23]   +5 [partial_knowledge] ; total=880 ; rate=22/min ; 176/1993 batches
[22:51:46]   +5 [partial_knowledge] ; total=885 ; rate=22/min ; 177/1993 batches
[22:52:18] === bulk seed generation starting (target=30000, workers=4, batch=5) ===
[22:52:19] existing accepted seeds: 920 | {'partial_knowledge': 920}
[22:52:19] prepared 5816 batches across categories
[22:53:11]   +5 [partial_knowledge] ; total=5 ; rate=6/min ; 1/5816 batches
[22:53:14]   +5 [partial_knowledge] ; total=10 ; rate=11/min ; 2/5816 batches
[22:53:14]   +5 [partial_knowledge] ; total=15 ; rate=16/min ; 3/5816 batches
[22:53:15]   +5 [partial_knowledge] ; total=20 ; rate=21/min ; 4/5816 batches
[22:54:04]   +5 [partial_knowledge] ; total=25 ; rate=14/min ; 5/5816 batches
[22:54:07]   +5 [partial_knowledge] ; total=30 ; rate=17/min ; 6/5816 batches
[22:54:08]   +5 [partial_knowledge] ; total=35 ; rate=19/min ; 7/5816 batches
[22:54:15]   +5 [partial_knowledge] ; total=40 ; rate=21/min ; 8/5816 batches
[22:54:54]   +5 [partial_knowledge] ; total=45 ; rate=17/min ; 9/5816 batches
[22:54:58]   +5 [partial_knowledge] ; total=50 ; rate=19/min ; 10/5816 batches
[22:55:02]   +5 [partial_knowledge] ; total=55 ; rate=20/min ; 11/5816 batches
[22:55:07]   +5 [partial_knowledge] ; total=60 ; rate=21/min ; 12/5816 batches
[22:55:44]   +5 [partial_knowledge] ; total=65 ; rate=19/min ; 13/5816 batches
[22:55:51]   +5 [partial_knowledge] ; total=70 ; rate=20/min ; 14/5816 batches
[22:55:59]   +5 [partial_knowledge] ; total=75 ; rate=20/min ; 15/5816 batches
[22:56:04]   +5 [partial_knowledge] ; total=80 ; rate=21/min ; 16/5816 batches
[22:56:36]   +5 [partial_knowledge] ; total=85 ; rate=20/min ; 17/5816 batches
[22:56:40]   +5 [partial_knowledge] ; total=90 ; rate=21/min ; 18/5816 batches
[22:56:50]   +5 [partial_knowledge] ; total=95 ; rate=21/min ; 19/5816 batches
[22:56:54]   +5 [partial_knowledge] ; total=100 ; rate=22/min ; 20/5816 batches
[22:57:32]   +5 [partial_knowledge] ; total=105 ; rate=20/min ; 21/5816 batches
[22:57:40]   +5 [partial_knowledge] ; total=110 ; rate=21/min ; 22/5816 batches
[22:57:43]   +5 [partial_knowledge] ; total=115 ; rate=21/min ; 23/5816 batches
[22:57:53]   +5 [partial_knowledge] ; total=120 ; rate=22/min ; 24/5816 batches
[22:58:30]   +5 [partial_knowledge] ; total=125 ; rate=20/min ; 25/5816 batches
[22:58:32]   +5 [partial_knowledge] ; total=130 ; rate=21/min ; 26/5816 batches
[22:58:40]   +5 [partial_knowledge] ; total=135 ; rate=21/min ; 27/5816 batches
[22:58:54]   +5 [partial_knowledge] ; total=140 ; rate=21/min ; 28/5816 batches
[22:59:23]   +5 [partial_knowledge] ; total=145 ; rate=21/min ; 29/5816 batches
[22:59:30]   +5 [partial_knowledge] ; total=150 ; rate=21/min ; 30/5816 batches
[22:59:32]   +5 [partial_knowledge] ; total=155 ; rate=21/min ; 31/5816 batches
[22:59:46]   +5 [partial_knowledge] ; total=160 ; rate=21/min ; 32/5816 batches
[23:00:17]   +5 [partial_knowledge] ; total=165 ; rate=21/min ; 33/5816 batches
[23:00:24]   +5 [partial_knowledge] ; total=170 ; rate=21/min ; 34/5816 batches
[23:00:36]   +5 [partial_knowledge] ; total=175 ; rate=21/min ; 35/5816 batches
[23:01:12]   +5 [partial_knowledge] ; total=180 ; rate=20/min ; 36/5816 batches
[23:01:13]   +5 [partial_knowledge] ; total=185 ; rate=21/min ; 37/5816 batches
[23:01:20]   +5 [partial_knowledge] ; total=190 ; rate=21/min ; 38/5816 batches
[23:01:32]   +5 [partial_knowledge] ; total=195 ; rate=21/min ; 39/5816 batches
[23:02:04]   +5 [partial_knowledge] ; total=200 ; rate=21/min ; 40/5816 batches
[23:02:06]   +5 [partial_knowledge] ; total=205 ; rate=21/min ; 41/5816 batches
[23:02:18]   +5 [partial_knowledge] ; total=210 ; rate=21/min ; 42/5816 batches
[23:02:23]   +5 [partial_knowledge] ; total=215 ; rate=21/min ; 43/5816 batches
[23:02:59]   +5 [partial_knowledge] ; total=220 ; rate=21/min ; 44/5816 batches
[23:03:04]   +5 [partial_knowledge] ; total=225 ; rate=21/min ; 45/5816 batches
[23:03:13]   +5 [partial_knowledge] ; total=230 ; rate=21/min ; 46/5816 batches
[23:03:16]   +5 [partial_knowledge] ; total=235 ; rate=21/min ; 47/5816 batches
[23:03:53]   +5 [partial_knowledge] ; total=240 ; rate=21/min ; 48/5816 batches
[23:03:55]   +5 [partial_knowledge] ; total=245 ; rate=21/min ; 49/5816 batches
[23:04:05]   +5 [partial_knowledge] ; total=250 ; rate=21/min ; 50/5816 batches
[23:04:12]   +5 [partial_knowledge] ; total=255 ; rate=21/min ; 51/5816 batches
[23:04:48]   +5 [partial_knowledge] ; total=260 ; rate=21/min ; 52/5816 batches
[23:04:51]   +5 [partial_knowledge] ; total=265 ; rate=21/min ; 53/5816 batches
[23:05:08]   +5 [partial_knowledge] ; total=270 ; rate=21/min ; 54/5816 batches
[23:05:08]   +5 [partial_knowledge] ; total=275 ; rate=21/min ; 55/5816 batches
[23:05:41]   +5 [partial_knowledge] ; total=280 ; rate=21/min ; 56/5816 batches
[23:05:43]   +5 [partial_knowledge] ; total=285 ; rate=21/min ; 57/5816 batches
[23:06:04]   +5 [partial_knowledge] ; total=290 ; rate=21/min ; 58/5816 batches
[23:06:07]   +5 [partial_knowledge] ; total=295 ; rate=21/min ; 59/5816 batches
[23:06:43]   +5 [partial_knowledge] ; total=300 ; rate=21/min ; 60/5816 batches
[23:06:48]   +5 [partial_knowledge] ; total=305 ; rate=21/min ; 61/5816 batches
[23:06:57]   +5 [partial_knowledge] ; total=310 ; rate=21/min ; 62/5816 batches
[23:07:02]   +5 [partial_knowledge] ; total=315 ; rate=21/min ; 63/5816 batches
[23:07:39]   +5 [partial_knowledge] ; total=320 ; rate=21/min ; 64/5816 batches
[23:07:40]   +5 [partial_knowledge] ; total=325 ; rate=21/min ; 65/5816 batches
[23:07:53]   +5 [partial_knowledge] ; total=330 ; rate=21/min ; 66/5816 batches
[23:07:58]   +5 [partial_knowledge] ; total=335 ; rate=21/min ; 67/5816 batches
[23:08:33]   +5 [partial_knowledge] ; total=340 ; rate=21/min ; 68/5816 batches
[23:08:40]   +5 [partial_knowledge] ; total=345 ; rate=21/min ; 69/5816 batches
[23:08:44]   +5 [partial_knowledge] ; total=350 ; rate=21/min ; 70/5816 batches
[23:08:50]   +5 [partial_knowledge] ; total=355 ; rate=21/min ; 71/5816 batches
[23:09:35]   +5 [partial_knowledge] ; total=360 ; rate=21/min ; 72/5816 batches
[23:09:36]   +5 [partial_knowledge] ; total=365 ; rate=21/min ; 73/5816 batches
[23:09:40]   +5 [partial_knowledge] ; total=370 ; rate=21/min ; 74/5816 batches
[23:09:40]   +5 [partial_knowledge] ; total=375 ; rate=22/min ; 75/5816 batches
[23:10:29]   +5 [partial_knowledge] ; total=380 ; rate=21/min ; 76/5816 batches
[23:10:31]   +5 [partial_knowledge] ; total=385 ; rate=21/min ; 77/5816 batches
[23:10:32]   +5 [partial_knowledge] ; total=390 ; rate=21/min ; 78/5816 batches
[23:10:37]   +5 [partial_knowledge] ; total=395 ; rate=22/min ; 79/5816 batches
[23:11:21]   +5 [partial_knowledge] ; total=400 ; rate=21/min ; 80/5816 batches
[23:11:24]   +5 [partial_knowledge] ; total=405 ; rate=21/min ; 81/5816 batches
[23:11:25]   +5 [partial_knowledge] ; total=410 ; rate=21/min ; 82/5816 batches
[23:11:34]   +5 [partial_knowledge] ; total=415 ; rate=22/min ; 83/5816 batches
[23:12:19]   +5 [partial_knowledge] ; total=420 ; rate=21/min ; 84/5816 batches
[23:12:23]   +5 [partial_knowledge] ; total=425 ; rate=21/min ; 85/5816 batches
[23:12:26]   +5 [partial_knowledge] ; total=430 ; rate=21/min ; 86/5816 batches
[23:12:33]   +5 [partial_knowledge] ; total=435 ; rate=21/min ; 87/5816 batches
[23:13:15]   +5 [partial_knowledge] ; total=440 ; rate=21/min ; 88/5816 batches
[23:13:21]   +5 [partial_knowledge] ; total=445 ; rate=21/min ; 89/5816 batches
[23:13:24]   +5 [partial_knowledge] ; total=450 ; rate=21/min ; 90/5816 batches
[23:13:33]   +5 [partial_knowledge] ; total=455 ; rate=21/min ; 91/5816 batches
[23:14:09]   +5 [partial_knowledge] ; total=460 ; rate=21/min ; 92/5816 batches
[23:14:16]   +5 [partial_knowledge] ; total=465 ; rate=21/min ; 93/5816 batches
[23:14:20]   +5 [partial_knowledge] ; total=470 ; rate=21/min ; 94/5816 batches
[23:14:23]   +5 [partial_knowledge] ; total=475 ; rate=22/min ; 95/5816 batches
[23:15:02]   +5 [partial_knowledge] ; total=480 ; rate=21/min ; 96/5816 batches
[23:15:13]   +5 [partial_knowledge] ; total=485 ; rate=21/min ; 97/5816 batches
[23:15:13]   +5 [partial_knowledge] ; total=490 ; rate=21/min ; 98/5816 batches
[23:15:14]   +5 [partial_knowledge] ; total=495 ; rate=22/min ; 99/5816 batches
[23:16:00]   +5 [partial_knowledge] ; total=500 ; rate=21/min ; 100/5816 batches
[23:16:05]   +5 [partial_knowledge] ; total=505 ; rate=21/min ; 101/5816 batches
[23:16:08]   +5 [partial_knowledge] ; total=510 ; rate=21/min ; 102/5816 batches
[23:16:10]   +5 [partial_knowledge] ; total=515 ; rate=22/min ; 103/5816 batches
[23:16:55]   +5 [partial_knowledge] ; total=520 ; rate=21/min ; 104/5816 batches
[23:17:04]   +5 [partial_knowledge] ; total=525 ; rate=21/min ; 105/5816 batches
[23:17:05]   +5 [partial_knowledge] ; total=530 ; rate=21/min ; 106/5816 batches
[23:17:08]   +5 [partial_knowledge] ; total=535 ; rate=22/min ; 107/5816 batches
[23:17:54]   +5 [partial_knowledge] ; total=540 ; rate=21/min ; 108/5816 batches
[23:17:57]   +5 [partial_knowledge] ; total=545 ; rate=21/min ; 109/5816 batches
[23:17:58]   +5 [partial_knowledge] ; total=550 ; rate=21/min ; 110/5816 batches
[23:18:06]   +5 [partial_knowledge] ; total=555 ; rate=22/min ; 111/5816 batches
[23:18:45]   +5 [partial_knowledge] ; total=560 ; rate=21/min ; 112/5816 batches
[23:18:52]   +5 [partial_knowledge] ; total=565 ; rate=21/min ; 113/5816 batches
[23:18:56]   +5 [partial_knowledge] ; total=570 ; rate=21/min ; 114/5816 batches
[23:19:00]   +5 [partial_knowledge] ; total=575 ; rate=22/min ; 115/5816 batches
[23:19:40]   +5 [partial_knowledge] ; total=580 ; rate=21/min ; 116/5816 batches
[23:19:44]   +5 [partial_knowledge] ; total=585 ; rate=21/min ; 117/5816 batches
[23:19:45]   +5 [partial_knowledge] ; total=590 ; rate=22/min ; 118/5816 batches
