[05:54:42] === bulk seed generation starting (target=60000, workers=4, batch=5) ===
[05:54:42] existing accepted seeds: 10045 | {'partial_knowledge': 7500, 'matter_file_grounded': 2545}
[05:54:42] prepared 9991 batches across categories
[05:55:25]   +5 [partial_knowledge] ; total=5 ; rate=7/min ; 1/9991 batches
[06:02:25]   +5 [partial_knowledge] ; total=185 ; rate=24/min ; 37/9991 batches
[06:02:44]   +5 [partial_knowledge] ; total=190 ; rate=24/min ; 38/9991 batches
[06:02:46]   +5 [partial_knowledge] ; total=195 ; rate=24/min ; 39/9991 batches
[06:02:51]   +5 [partial_knowledge] ; total=200 ; rate=25/min ; 40/9991 batches
[06:03:14]   +5 [partial_knowledge] ; total=205 ; rate=24/min ; 41/9991 batches
[06:03:37]   +5 [partial_knowledge] ; total=210 ; rate=24/min ; 42/9991 batches
[06:03:38]   +5 [partial_knowledge] ; total=215 ; rate=24/min ; 43/9991 batches
[06:03:40]   +5 [partial_knowledge] ; total=220 ; rate=25/min ; 44/9991 batches
[06:04:04]   +5 [partial_knowledge] ; total=225 ; rate=24/min ; 45/9991 batches
[06:04:24]   +5 [partial_knowledge] ; total=230 ; rate=24/min ; 46/9991 batches
[06:04:24]   +5 [partial_knowledge] ; total=235 ; rate=24/min ; 47/9991 batches
[06:04:26]   +5 [partial_knowledge] ; total=240 ; rate=25/min ; 48/9991 batches
[06:04:59]   +5 [partial_knowledge] ; total=245 ; rate=24/min ; 49/9991 batches
[06:05:07]   +5 [partial_knowledge] ; total=250 ; rate=24/min ; 50/9991 batches
[06:05:13]   +5 [partial_knowledge] ; total=255 ; rate=24/min ; 51/9991 batches
[06:05:17]   +5 [partial_knowledge] ; total=260 ; rate=25/min ; 52/9991 batches
[06:05:46]   +5 [partial_knowledge] ; total=265 ; rate=24/min ; 53/9991 batches
[06:05:51]   +5 [partial_knowledge] ; total=270 ; rate=24/min ; 54/9991 batches
[06:06:04]   +5 [partial_knowledge] ; total=275 ; rate=24/min ; 55/9991 batches
[06:06:05]   +5 [partial_knowledge] ; total=280 ; rate=25/min ; 56/9991 batches
[06:06:36]   +5 [partial_knowledge] ; total=285 ; rate=24/min ; 57/9991 batches
[06:06:36]   +5 [partial_knowledge] ; total=290 ; rate=24/min ; 58/9991 batches
[06:06:48]   +5 [partial_knowledge] ; total=295 ; rate=24/min ; 59/9991 batches
[06:07:03]   +5 [partial_knowledge] ; total=300 ; rate=24/min ; 60/9991 batches
[06:07:19]   +5 [partial_knowledge] ; total=305 ; rate=24/min ; 61/9991 batches
[06:07:20]   +5 [partial_knowledge] ; total=310 ; rate=25/min ; 62/9991 batches
[06:07:39]   +5 [partial_knowledge] ; total=315 ; rate=24/min ; 63/9991 batches
[06:07:48]   +5 [partial_knowledge] ; total=320 ; rate=24/min ; 64/9991 batches
[06:08:03]   +5 [partial_knowledge] ; total=325 ; rate=24/min ; 65/9991 batches
[06:08:12]   +5 [partial_knowledge] ; total=330 ; rate=24/min ; 66/9991 batches
[06:08:34]   +5 [partial_knowledge] ; total=335 ; rate=24/min ; 67/9991 batches
[06:08:37]   +5 [partial_knowledge] ; total=340 ; rate=24/min ; 68/9991 batches
[06:08:57]   +5 [partial_knowledge] ; total=345 ; rate=24/min ; 69/9991 batches
[06:09:00]   +5 [partial_knowledge] ; total=350 ; rate=24/min ; 70/9991 batches
[06:09:19]   +5 [partial_knowledge] ; total=355 ; rate=24/min ; 71/9991 batches
[06:09:24]   +5 [partial_knowledge] ; total=360 ; rate=25/min ; 72/9991 batches
[06:09:41]   +5 [partial_knowledge] ; total=365 ; rate=24/min ; 73/9991 batches
[06:09:44]   +5 [partial_knowledge] ; total=370 ; rate=25/min ; 74/9991 batches
[06:09:59]   +5 [partial_knowledge] ; total=375 ; rate=25/min ; 75/9991 batches
[06:10:06]   +5 [partial_knowledge] ; total=380 ; rate=25/min ; 76/9991 batches
[06:10:30]   +5 [partial_knowledge] ; total=385 ; rate=24/min ; 77/9991 batches
[06:10:33]   +5 [partial_knowledge] ; total=390 ; rate=25/min ; 78/9991 batches
[06:10:39]   +5 [partial_knowledge] ; total=395 ; rate=25/min ; 79/9991 batches
[06:10:56]   +5 [partial_knowledge] ; total=400 ; rate=25/min ; 80/9991 batches
[06:11:15]   +5 [partial_knowledge] ; total=405 ; rate=24/min ; 81/9991 batches
[06:11:24]   +5 [partial_knowledge] ; total=410 ; rate=25/min ; 82/9991 batches
[06:11:25]   +5 [partial_knowledge] ; total=415 ; rate=25/min ; 83/9991 batches
[06:11:44]   +5 [partial_knowledge] ; total=420 ; rate=25/min ; 84/9991 batches
[06:11:58]   +5 [partial_knowledge] ; total=425 ; rate=25/min ; 85/9991 batches
[06:12:08]   +5 [partial_knowledge] ; total=430 ; rate=25/min ; 86/9991 batches
[06:12:15]   +5 [partial_knowledge] ; total=435 ; rate=25/min ; 87/9991 batches
[06:12:37]   +5 [partial_knowledge] ; total=440 ; rate=25/min ; 88/9991 batches
[06:12:46]   +5 [partial_knowledge] ; total=445 ; rate=25/min ; 89/9991 batches
[06:12:58]   +5 [partial_knowledge] ; total=450 ; rate=25/min ; 90/9991 batches
[06:12:59]   +5 [partial_knowledge] ; total=455 ; rate=25/min ; 91/9991 batches
[06:13:22]   +5 [partial_knowledge] ; total=460 ; rate=25/min ; 92/9991 batches
[06:13:29]   +5 [partial_knowledge] ; total=465 ; rate=25/min ; 93/9991 batches
[06:13:41]   +5 [partial_knowledge] ; total=470 ; rate=25/min ; 94/9991 batches
[06:13:48]   +5 [partial_knowledge] ; total=475 ; rate=25/min ; 95/9991 batches
[06:14:04]   +5 [partial_knowledge] ; total=480 ; rate=25/min ; 96/9991 batches
[06:14:16]   +5 [partial_knowledge] ; total=485 ; rate=25/min ; 97/9991 batches
[06:14:29]   +5 [partial_knowledge] ; total=490 ; rate=25/min ; 98/9991 batches
[06:14:37]   +5 [partial_knowledge] ; total=495 ; rate=25/min ; 99/9991 batches
[06:14:51]   +5 [partial_knowledge] ; total=500 ; rate=25/min ; 100/9991 batches
[06:15:02]   +5 [partial_knowledge] ; total=505 ; rate=25/min ; 101/9991 batches
[06:15:15]   +5 [partial_knowledge] ; total=510 ; rate=25/min ; 102/9991 batches
[06:15:24]   +5 [partial_knowledge] ; total=515 ; rate=25/min ; 103/9991 batches
[06:15:49]   +5 [partial_knowledge] ; total=520 ; rate=25/min ; 104/9991 batches
[06:15:56]   +5 [partial_knowledge] ; total=525 ; rate=25/min ; 105/9991 batches
[06:16:00]   +5 [partial_knowledge] ; total=530 ; rate=25/min ; 106/9991 batches
[06:16:14]   +5 [partial_knowledge] ; total=535 ; rate=25/min ; 107/9991 batches
[06:16:38]   +5 [partial_knowledge] ; total=540 ; rate=25/min ; 108/9991 batches
[06:16:43]   +5 [partial_knowledge] ; total=545 ; rate=25/min ; 109/9991 batches
[06:16:56]   +5 [partial_knowledge] ; total=550 ; rate=25/min ; 110/9991 batches
[06:16:59]   +5 [partial_knowledge] ; total=555 ; rate=25/min ; 111/9991 batches
[06:17:24]   +5 [partial_knowledge] ; total=560 ; rate=25/min ; 112/9991 batches
[06:17:30]   +5 [partial_knowledge] ; total=565 ; rate=25/min ; 113/9991 batches
[06:17:40]   +5 [partial_knowledge] ; total=570 ; rate=25/min ; 114/9991 batches
[06:17:49]   +5 [partial_knowledge] ; total=575 ; rate=25/min ; 115/9991 batches
[06:18:16]   +5 [partial_knowledge] ; total=580 ; rate=25/min ; 116/9991 batches
[06:18:17]   +5 [partial_knowledge] ; total=585 ; rate=25/min ; 117/9991 batches
[06:18:27]   +5 [partial_knowledge] ; total=590 ; rate=25/min ; 118/9991 batches
[06:18:29]   +5 [partial_knowledge] ; total=595 ; rate=25/min ; 119/9991 batches
[06:19:03]   +5 [partial_knowledge] ; total=600 ; rate=25/min ; 120/9991 batches
[06:19:04]   +5 [partial_knowledge] ; total=605 ; rate=25/min ; 121/9991 batches
[06:19:14]   +5 [partial_knowledge] ; total=610 ; rate=25/min ; 122/9991 batches
[06:19:19]   +5 [partial_knowledge] ; total=615 ; rate=25/min ; 123/9991 batches
[06:19:46]   +5 [partial_knowledge] ; total=620 ; rate=25/min ; 124/9991 batches
[06:19:49]   +5 [partial_knowledge] ; total=625 ; rate=25/min ; 125/9991 batches
[06:19:59]   +5 [partial_knowledge] ; total=630 ; rate=25/min ; 126/9991 batches
[06:20:12]   +5 [partial_knowledge] ; total=635 ; rate=25/min ; 127/9991 batches
[06:20:36]   +5 [partial_knowledge] ; total=640 ; rate=25/min ; 128/9991 batches
[06:20:39]   +5 [partial_knowledge] ; total=645 ; rate=25/min ; 129/9991 batches
[06:20:47]   +5 [partial_knowledge] ; total=650 ; rate=25/min ; 130/9991 batches
[06:20:57]   +5 [partial_knowledge] ; total=655 ; rate=25/min ; 131/9991 batches
[06:21:19]   +5 [partial_knowledge] ; total=660 ; rate=25/min ; 132/9991 batches
[06:21:27]   +5 [partial_knowledge] ; total=665 ; rate=25/min ; 133/9991 batches
[06:21:32]   +5 [partial_knowledge] ; total=670 ; rate=25/min ; 134/9991 batches
[06:21:44]   +5 [partial_knowledge] ; total=675 ; rate=25/min ; 135/9991 batches
[06:22:00]   +5 [partial_knowledge] ; total=680 ; rate=25/min ; 136/9991 batches
[06:22:12]   +5 [partial_knowledge] ; total=685 ; rate=25/min ; 137/9991 batches
[06:22:20]   +5 [partial_knowledge] ; total=690 ; rate=25/min ; 138/9991 batches
[06:22:26]   +5 [partial_knowledge] ; total=695 ; rate=25/min ; 139/9991 batches
[06:22:44]   +5 [partial_knowledge] ; total=700 ; rate=25/min ; 140/9991 batches
[06:22:58]   +5 [partial_knowledge] ; total=705 ; rate=25/min ; 141/9991 batches
[06:23:07]   +5 [partial_knowledge] ; total=710 ; rate=25/min ; 142/9991 batches
[06:23:21]   +5 [partial_knowledge] ; total=715 ; rate=25/min ; 143/9991 batches
[06:23:36]   +5 [partial_knowledge] ; total=720 ; rate=25/min ; 144/9991 batches
[06:23:39]   +5 [partial_knowledge] ; total=725 ; rate=25/min ; 145/9991 batches
[06:23:57]   +5 [partial_knowledge] ; total=730 ; rate=25/min ; 146/9991 batches
[06:24:08]   +5 [partial_knowledge] ; total=735 ; rate=25/min ; 147/9991 batches
[06:24:24]   +5 [partial_knowledge] ; total=740 ; rate=25/min ; 148/9991 batches
[06:24:26]   +5 [partial_knowledge] ; total=745 ; rate=25/min ; 149/9991 batches
[06:24:44]   +5 [partial_knowledge] ; total=750 ; rate=25/min ; 150/9991 batches
[06:25:06]   +5 [partial_knowledge] ; total=755 ; rate=25/min ; 151/9991 batches
[06:25:08]   +5 [partial_knowledge] ; total=760 ; rate=25/min ; 152/9991 batches
[06:25:09]   +5 [partial_knowledge] ; total=765 ; rate=25/min ; 153/9991 batches
[06:25:29]   +5 [partial_knowledge] ; total=770 ; rate=25/min ; 154/9991 batches
[06:25:51]   +5 [partial_knowledge] ; total=775 ; rate=25/min ; 155/9991 batches
[06:26:02]   +5 [partial_knowledge] ; total=780 ; rate=25/min ; 156/9991 batches
[06:26:04]   +5 [partial_knowledge] ; total=785 ; rate=25/min ; 157/9991 batches
[06:26:17]   +5 [partial_knowledge] ; total=790 ; rate=25/min ; 158/9991 batches
[06:26:39]   +5 [partial_knowledge] ; total=795 ; rate=25/min ; 159/9991 batches
[06:26:51]   +5 [partial_knowledge] ; total=800 ; rate=25/min ; 160/9991 batches
[06:26:52]   +5 [partial_knowledge] ; total=805 ; rate=25/min ; 161/9991 batches
[06:27:00]   +5 [partial_knowledge] ; total=810 ; rate=25/min ; 162/9991 batches
[06:27:21]   +5 [partial_knowledge] ; total=815 ; rate=25/min ; 163/9991 batches
[06:27:42]   +5 [partial_knowledge] ; total=820 ; rate=25/min ; 164/9991 batches
[06:27:44]   +5 [partial_knowledge] ; total=825 ; rate=25/min ; 165/9991 batches
[06:27:45]   +5 [partial_knowledge] ; total=830 ; rate=25/min ; 166/9991 batches
[06:28:08]   +5 [partial_knowledge] ; total=835 ; rate=25/min ; 167/9991 batches
[06:28:31]   +5 [partial_knowledge] ; total=840 ; rate=25/min ; 168/9991 batches
[06:28:33]   +5 [partial_knowledge] ; total=845 ; rate=25/min ; 169/9991 batches
[06:28:33]   +5 [partial_knowledge] ; total=850 ; rate=25/min ; 170/9991 batches
[06:28:54]   +5 [partial_knowledge] ; total=855 ; rate=25/min ; 171/9991 batches
[06:29:16]   +5 [partial_knowledge] ; total=860 ; rate=25/min ; 172/9991 batches
[06:29:18]   +5 [partial_knowledge] ; total=865 ; rate=25/min ; 173/9991 batches
[06:29:22]   +5 [partial_knowledge] ; total=870 ; rate=25/min ; 174/9991 batches
[06:29:40]   +5 [partial_knowledge] ; total=875 ; rate=25/min ; 175/9991 batches
[06:30:03]   +5 [partial_knowledge] ; total=880 ; rate=25/min ; 176/9991 batches
[06:30:03]   +5 [partial_knowledge] ; total=885 ; rate=25/min ; 177/9991 batches
[06:30:14]   +5 [partial_knowledge] ; total=890 ; rate=25/min ; 178/9991 batches
[06:30:31]   +5 [partial_knowledge] ; total=895 ; rate=25/min ; 179/9991 batches
[06:30:50]   +5 [partial_knowledge] ; total=900 ; rate=25/min ; 180/9991 batches
[06:30:52]   +5 [partial_knowledge] ; total=905 ; rate=25/min ; 181/9991 batches
[06:30:58]   +5 [partial_knowledge] ; total=910 ; rate=25/min ; 182/9991 batches
[06:31:19]   +5 [partial_knowledge] ; total=915 ; rate=25/min ; 183/9991 batches
[06:31:35]   +5 [partial_knowledge] ; total=920 ; rate=25/min ; 184/9991 batches
[06:31:39]   +5 [partial_knowledge] ; total=925 ; rate=25/min ; 185/9991 batches
[06:31:43]   +5 [partial_knowledge] ; total=930 ; rate=25/min ; 186/9991 batches
[06:32:03]   +5 [partial_knowledge] ; total=935 ; rate=25/min ; 187/9991 batches
[06:32:17]   +5 [partial_knowledge] ; total=940 ; rate=25/min ; 188/9991 batches
[06:32:25]   +5 [partial_knowledge] ; total=945 ; rate=25/min ; 189/9991 batches
[06:32:33]   +5 [partial_knowledge] ; total=950 ; rate=25/min ; 190/9991 batches
[06:32:43]   +5 [partial_knowledge] ; total=955 ; rate=25/min ; 191/9991 batches
[06:32:56]   +5 [partial_knowledge] ; total=960 ; rate=25/min ; 192/9991 batches
[06:33:12]   +5 [partial_knowledge] ; total=965 ; rate=25/min ; 193/9991 batches
[06:33:21]   +5 [partial_knowledge] ; total=970 ; rate=25/min ; 194/9991 batches
[06:33:24]   +5 [partial_knowledge] ; total=975 ; rate=25/min ; 195/9991 batches
[06:33:45]   +5 [partial_knowledge] ; total=980 ; rate=25/min ; 196/9991 batches
[06:33:57]   +5 [partial_knowledge] ; total=985 ; rate=25/min ; 197/9991 batches
[06:34:03]   +5 [partial_knowledge] ; total=990 ; rate=25/min ; 198/9991 batches
[06:34:05]   +5 [partial_knowledge] ; total=995 ; rate=25/min ; 199/9991 batches
[06:34:37]   +5 [partial_knowledge] ; total=1000 ; rate=25/min ; 200/9991 batches
[06:34:39]   +5 [partial_knowledge] ; total=1005 ; rate=25/min ; 201/9991 batches
[06:34:46]   +5 [partial_knowledge] ; total=1010 ; rate=25/min ; 202/9991 batches
[06:34:48]   +5 [partial_knowledge] ; total=1015 ; rate=25/min ; 203/9991 batches
[06:35:23]   +5 [partial_knowledge] ; total=1020 ; rate=25/min ; 204/9991 batches
[06:35:35]   +5 [partial_knowledge] ; total=1025 ; rate=25/min ; 205/9991 batches
[06:35:36]   +5 [partial_knowledge] ; total=1030 ; rate=25/min ; 206/9991 batches
[06:35:37]   +5 [partial_knowledge] ; total=1035 ; rate=25/min ; 207/9991 batches
[06:36:12]   +5 [partial_knowledge] ; total=1040 ; rate=25/min ; 208/9991 batches
[06:36:24]   +5 [partial_knowledge] ; total=1045 ; rate=25/min ; 209/9991 batches
[06:36:27]   +5 [partial_knowledge] ; total=1050 ; rate=25/min ; 210/9991 batches
[06:36:35]   +5 [partial_knowledge] ; total=1055 ; rate=25/min ; 211/9991 batches
[06:37:01]   +5 [partial_knowledge] ; total=1060 ; rate=25/min ; 212/9991 batches
[06:37:09]   +5 [partial_knowledge] ; total=1065 ; rate=25/min ; 213/9991 batches
[06:37:16]   +5 [partial_knowledge] ; total=1070 ; rate=25/min ; 214/9991 batches
[06:37:20]   +5 [partial_knowledge] ; total=1075 ; rate=25/min ; 215/9991 batches
[06:37:54]   +5 [partial_knowledge] ; total=1080 ; rate=25/min ; 216/9991 batches
[06:37:55]   +5 [partial_knowledge] ; total=1085 ; rate=25/min ; 217/9991 batches
[06:38:02]   +5 [partial_knowledge] ; total=1090 ; rate=25/min ; 218/9991 batches
[06:38:08]   +5 [partial_knowledge] ; total=1095 ; rate=25/min ; 219/9991 batches
[06:38:45]   +5 [partial_knowledge] ; total=1100 ; rate=25/min ; 220/9991 batches
[06:38:47]   +5 [partial_knowledge] ; total=1105 ; rate=25/min ; 221/9991 batches
[06:38:53]   +5 [partial_knowledge] ; total=1110 ; rate=25/min ; 222/9991 batches
[06:38:55]   +5 [partial_knowledge] ; total=1115 ; rate=25/min ; 223/9991 batches
[06:39:29]   +5 [partial_knowledge] ; total=1120 ; rate=25/min ; 224/9991 batches
[06:39:30]   +5 [partial_knowledge] ; total=1125 ; rate=25/min ; 225/9991 batches
[06:39:43]   +5 [partial_knowledge] ; total=1130 ; rate=25/min ; 226/9991 batches
[06:39:44]   +5 [partial_knowledge] ; total=1135 ; rate=25/min ; 227/9991 batches
[06:40:13]   +5 [partial_knowledge] ; total=1140 ; rate=25/min ; 228/9991 batches
[06:40:16]   +5 [partial_knowledge] ; total=1145 ; rate=25/min ; 229/9991 batches
[06:40:24]   +5 [partial_knowledge] ; total=1150 ; rate=25/min ; 230/9991 batches
[06:40:30]   +5 [partial_knowledge] ; total=1155 ; rate=25/min ; 231/9991 batches
[06:41:03]   +5 [partial_knowledge] ; total=1160 ; rate=25/min ; 232/9991 batches
[06:41:04]   +5 [partial_knowledge] ; total=1165 ; rate=25/min ; 233/9991 batches
[06:41:07]   +5 [partial_knowledge] ; total=1170 ; rate=25/min ; 234/9991 batches
[06:41:14]   +5 [partial_knowledge] ; total=1175 ; rate=25/min ; 235/9991 batches
[06:41:45]   +5 [partial_knowledge] ; total=1180 ; rate=25/min ; 236/9991 batches
[06:41:47]   +5 [partial_knowledge] ; total=1185 ; rate=25/min ; 237/9991 batches
[06:41:49]   +5 [partial_knowledge] ; total=1190 ; rate=25/min ; 238/9991 batches
[06:41:58]   +5 [partial_knowledge] ; total=1195 ; rate=25/min ; 239/9991 batches
[06:42:27]   +5 [partial_knowledge] ; total=1200 ; rate=25/min ; 240/9991 batches
[06:42:32]   +5 [partial_knowledge] ; total=1205 ; rate=25/min ; 241/9991 batches
[06:42:38]   +5 [partial_knowledge] ; total=1210 ; rate=25/min ; 242/9991 batches
[06:42:58]   +5 [partial_knowledge] ; total=1215 ; rate=25/min ; 243/9991 batches
[06:43:15]   +5 [partial_knowledge] ; total=1220 ; rate=25/min ; 244/9991 batches
[06:43:21]   +5 [partial_knowledge] ; total=1225 ; rate=25/min ; 245/9991 batches
[06:43:27]   +5 [partial_knowledge] ; total=1230 ; rate=25/min ; 246/9991 batches
[06:43:45]   +5 [partial_knowledge] ; total=1235 ; rate=25/min ; 247/9991 batches
[06:44:01]   +5 [partial_knowledge] ; total=1240 ; rate=25/min ; 248/9991 batches
[06:44:05]   +5 [partial_knowledge] ; total=1245 ; rate=25/min ; 249/9991 batches
[06:44:12]   +5 [partial_knowledge] ; total=1250 ; rate=25/min ; 250/9991 batches
[06:44:32]   +5 [partial_knowledge] ; total=1255 ; rate=25/min ; 251/9991 batches
[06:44:45]   +5 [partial_knowledge] ; total=1260 ; rate=25/min ; 252/9991 batches
[06:44:52]   +5 [partial_knowledge] ; total=1265 ; rate=25/min ; 253/9991 batches
[06:44:59]   +5 [partial_knowledge] ; total=1270 ; rate=25/min ; 254/9991 batches
[06:45:26]   +5 [partial_knowledge] ; total=1275 ; rate=25/min ; 255/9991 batches
[06:45:26]   +5 [partial_knowledge] ; total=1280 ; rate=25/min ; 256/9991 batches
[06:45:34]   +5 [partial_knowledge] ; total=1285 ; rate=25/min ; 257/9991 batches
[06:45:48]   +5 [partial_knowledge] ; total=1290 ; rate=25/min ; 258/9991 batches
[06:46:11]   +5 [partial_knowledge] ; total=1295 ; rate=25/min ; 259/9991 batches
[06:46:11]   +5 [partial_knowledge] ; total=1300 ; rate=25/min ; 260/9991 batches
[06:46:21]   +5 [partial_knowledge] ; total=1305 ; rate=25/min ; 261/9991 batches
[06:46:28]   +5 [partial_knowledge] ; total=1310 ; rate=25/min ; 262/9991 batches
[06:46:58]   +5 [partial_knowledge] ; total=1315 ; rate=25/min ; 263/9991 batches
[06:47:04]   +5 [partial_knowledge] ; total=1320 ; rate=25/min ; 264/9991 batches
[06:47:07]   +5 [partial_knowledge] ; total=1325 ; rate=25/min ; 265/9991 batches
[06:47:15]   +5 [partial_knowledge] ; total=1330 ; rate=25/min ; 266/9991 batches
[06:47:47]   +5 [partial_knowledge] ; total=1335 ; rate=25/min ; 267/9991 batches
[06:47:49]   +5 [partial_knowledge] ; total=1340 ; rate=25/min ; 268/9991 batches
[06:47:51]   +5 [partial_knowledge] ; total=1345 ; rate=25/min ; 269/9991 batches
[06:47:57]   +5 [partial_knowledge] ; total=1350 ; rate=25/min ; 270/9991 batches
[06:48:32]   +5 [partial_knowledge] ; total=1355 ; rate=25/min ; 271/9991 batches
[06:48:37]   +5 [partial_knowledge] ; total=1360 ; rate=25/min ; 272/9991 batches
[06:48:40]   +5 [partial_knowledge] ; total=1365 ; rate=25/min ; 273/9991 batches
[06:48:46]   +5 [partial_knowledge] ; total=1370 ; rate=25/min ; 274/9991 batches
[06:49:14]   +5 [partial_knowledge] ; total=1375 ; rate=25/min ; 275/9991 batches
[06:49:21]   +5 [partial_knowledge] ; total=1380 ; rate=25/min ; 276/9991 batches
[06:49:22]   +5 [partial_knowledge] ; total=1385 ; rate=25/min ; 277/9991 batches
[06:49:30]   +5 [partial_knowledge] ; total=1390 ; rate=25/min ; 278/9991 batches
[06:50:01]   +5 [partial_knowledge] ; total=1395 ; rate=25/min ; 279/9991 batches
[06:50:06]   +5 [partial_knowledge] ; total=1400 ; rate=25/min ; 280/9991 batches
[06:50:09]   +5 [partial_knowledge] ; total=1405 ; rate=25/min ; 281/9991 batches
[06:50:22]   +5 [partial_knowledge] ; total=1410 ; rate=25/min ; 282/9991 batches
[06:50:47]   +5 [partial_knowledge] ; total=1415 ; rate=25/min ; 283/9991 batches
[06:50:54]   +5 [partial_knowledge] ; total=1420 ; rate=25/min ; 284/9991 batches
[06:50:55]   +5 [partial_knowledge] ; total=1425 ; rate=25/min ; 285/9991 batches
[06:51:10]   +5 [partial_knowledge] ; total=1430 ; rate=25/min ; 286/9991 batches
[06:51:29]   +5 [partial_knowledge] ; total=1435 ; rate=25/min ; 287/9991 batches
[06:51:37]   +5 [partial_knowledge] ; total=1440 ; rate=25/min ; 288/9991 batches
[06:51:41]   +5 [partial_knowledge] ; total=1445 ; rate=25/min ; 289/9991 batches
[06:51:56]   +5 [partial_knowledge] ; total=1450 ; rate=25/min ; 290/9991 batches
[06:52:17]   +5 [partial_knowledge] ; total=1455 ; rate=25/min ; 291/9991 batches
[06:52:25]   +5 [partial_knowledge] ; total=1460 ; rate=25/min ; 292/9991 batches
[06:52:29]   +5 [partial_knowledge] ; total=1465 ; rate=25/min ; 293/9991 batches
[06:52:46]   +5 [partial_knowledge] ; total=1470 ; rate=25/min ; 294/9991 batches
[06:53:04]   +5 [partial_knowledge] ; total=1475 ; rate=25/min ; 295/9991 batches
[06:53:09]   +5 [partial_knowledge] ; total=1480 ; rate=25/min ; 296/9991 batches
[06:53:13]   +5 [partial_knowledge] ; total=1485 ; rate=25/min ; 297/9991 batches
[06:53:30]   +5 [partial_knowledge] ; total=1490 ; rate=25/min ; 298/9991 batches
[06:53:51]   +5 [partial_knowledge] ; total=1495 ; rate=25/min ; 299/9991 batches
[06:53:52]   +5 [partial_knowledge] ; total=1500 ; rate=25/min ; 300/9991 batches
[06:53:54]   +5 [partial_knowledge] ; total=1505 ; rate=25/min ; 301/9991 batches
[06:54:15]   +5 [partial_knowledge] ; total=1510 ; rate=25/min ; 302/9991 batches
[06:54:39]   +5 [partial_knowledge] ; total=1515 ; rate=25/min ; 303/9991 batches
