[20:49:00] === frontier consensus job starting ===
[20:55:28] [18/44] item 18 stratum=fixture_negative_abstain — consulting
[20:55:45]   → ['reject', 'unparsed', 'silver'] = non_gold
[20:55:45] [19/44] item 19 stratum=fixture_negative_abstain — consulting
[20:55:55]   → ['reject', 'reject', 'silver'] = non_gold
[20:55:55] [20/44] item 20 stratum=fixture_negative_abstain — consulting
[20:56:17]   → ['silver', 'gold', 'reject'] = non_gold
[20:56:17] [21/44] item 21 stratum=fixture_negative_abstain — consulting
[20:56:32]   → ['reject', 'unparsed', 'reject'] = non_gold
[20:56:32] [22/44] item 22 stratum=fixture_negative_abstain — consulting
[20:56:53]   → ['reject', 'gold', 'reject'] = non_gold
[20:56:53] [23/44] item 23 stratum=fixture_negative_abstain — consulting
[20:57:12]   → ['reject', 'unparsed', 'reject'] = non_gold
[20:57:12] [24/44] item 24 stratum=fixture_negative_abstain — consulting
[20:57:37]   → ['reject', 'unparsed', 'reject'] = non_gold
[20:57:37] [25/44] item 25 stratum=mixed_adversarial — consulting
[20:57:46]   → ['reject', 'reject', 'gold'] = non_gold
[20:57:46] [26/44] item 26 stratum=mixed_adversarial — consulting
[20:58:10]   → ['reject', 'reject', 'gold'] = non_gold
[20:58:10] [27/44] item 27 stratum=mixed_adversarial — consulting
[20:58:31]   → ['silver', 'unparsed', 'gold'] = non_gold
[20:58:31] [28/44] item 28 stratum=mixed_adversarial — consulting
[20:58:56]   → ['reject', 'unparsed', 'gold'] = non_gold
[20:58:56] [29/44] item 29 stratum=mixed_adversarial — consulting
[20:59:13]   → ['reject', 'unparsed', 'silver'] = non_gold
[20:59:13] [30/44] item 30 stratum=mixed_adversarial — consulting
[20:59:45]   → ['reject', 'reject', 'silver'] = non_gold
[20:59:45] [31/44] item 31 stratum=mixed_adversarial — consulting
[20:59:57]   → ['reject', 'reject', 'silver'] = non_gold
[20:59:57] [32/44] item 32 stratum=mixed_adversarial — consulting
[21:00:18]   → ['silver', 'reject', 'silver'] = non_gold
[21:00:18] [33/44] item 33 stratum=mixed_adversarial — consulting
[21:00:41]   → ['reject', 'unparsed', 'silver'] = non_gold
[21:00:41] [34/44] item 34 stratum=mixed_adversarial — consulting
[21:01:09]   → ['reject', 'silver', 'silver'] = non_gold
[21:01:09] [35/44] item 35 stratum=counterfactual — consulting
[21:01:30]   → ['reject', 'reject', 'gold'] = non_gold
[21:01:30] [36/44] item 36 stratum=counterfactual — consulting
[21:02:01]   → ['reject', 'unparsed', 'silver'] = non_gold
[21:02:01] [37/44] item 37 stratum=counterfactual — consulting
[21:02:25]   → ['reject', 'reject', 'silver'] = non_gold
[21:02:25] [38/44] item 38 stratum=counterfactual — consulting
[21:02:42]   → ['reject', 'unparsed', 'reject'] = non_gold
[21:02:42] [39/44] item 39 stratum=counterfactual — consulting
[21:03:03]   → ['reject', 'unparsed', 'silver'] = non_gold
[21:03:03] [40/44] item 40 stratum=counterfactual — consulting
[21:03:20]   → ['silver', 'unparsed', 'gold'] = non_gold
[21:03:20] [41/44] item 41 stratum=counterfactual — consulting
[21:03:47]   → ['silver', 'unparsed', 'silver'] = non_gold
[21:03:47] [42/44] item 42 stratum=counterfactual — consulting
[21:04:24]   → ['silver', 'reject', 'silver'] = non_gold
[21:04:24] [43/44] item 43 stratum=counterfactual — consulting
[21:04:48]   → ['reject', 'unparsed', 'silver'] = non_gold
[21:04:48] [44/44] item 44 stratum=counterfactual — consulting
[21:05:11]   → ['reject', 'reject', 'reject'] = non_gold
[21:05:11] 
[21:05:11] === done ===
[21:05:11] processed: 44
[21:05:11] consensus gold (all 3): 0
[21:05:11] majority gold (≥2):     2
[21:05:11] summary → /home/sbarker/swarmops/.overnight/frontier_consensus_summary.json
