[20:27:25] === frontier consensus job starting ===
[20:36:14]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:36:14] [20/44] item 20 stratum=fixture_negative_abstain — consulting
[20:36:42]   → ['reject', 'gold', 'unparsed'] = non_gold
[20:36:42] [21/44] item 21 stratum=fixture_negative_abstain — consulting
[20:37:08]   → ['reject', 'unparsed', 'unparsed'] = non_gold
[20:37:08] [22/44] item 22 stratum=fixture_negative_abstain — consulting
[20:37:28]   → ['reject', 'unparsed', 'unparsed'] = non_gold
[20:37:28] [23/44] item 23 stratum=fixture_negative_abstain — consulting
[20:37:51]   → ['reject', 'gold', 'unparsed'] = non_gold
[20:37:51] [24/44] item 24 stratum=fixture_negative_abstain — consulting
[20:38:09]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:38:09] [25/44] item 25 stratum=mixed_adversarial — consulting
[20:38:41]   → ['reject', 'reject', 'silver'] = non_gold
[20:38:41] [26/44] item 26 stratum=mixed_adversarial — consulting
[20:39:15]   → ['reject', 'reject', 'silver'] = non_gold
[20:39:15] [27/44] item 27 stratum=mixed_adversarial — consulting
[20:39:47]   → ['silver', 'gold', 'unparsed'] = non_gold
[20:39:47] [28/44] item 28 stratum=mixed_adversarial — consulting
[20:40:10]   → ['reject', 'unparsed', 'unparsed'] = non_gold
[20:40:10] [29/44] item 29 stratum=mixed_adversarial — consulting
[20:40:34]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:40:34] [30/44] item 30 stratum=mixed_adversarial — consulting
[20:40:47]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:40:47] [31/44] item 31 stratum=mixed_adversarial — consulting
[20:40:59]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:40:59] [32/44] item 32 stratum=mixed_adversarial — consulting
[20:41:13]   → ['silver', 'silver', 'unparsed'] = non_gold
[20:41:13] [33/44] item 33 stratum=mixed_adversarial — consulting
[20:42:01]   → ['reject', 'unparsed', 'silver'] = non_gold
[20:42:01] [34/44] item 34 stratum=mixed_adversarial — consulting
[20:42:29]   → ['reject', 'reject', 'silver'] = non_gold
[20:42:29] [35/44] item 35 stratum=counterfactual — consulting
[20:43:04]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:43:04] [36/44] item 36 stratum=counterfactual — consulting
[20:43:30]   → ['reject', 'unparsed', 'unparsed'] = non_gold
[20:43:30] [37/44] item 37 stratum=counterfactual — consulting
[20:43:56]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:43:56] [38/44] item 38 stratum=counterfactual — consulting
[20:44:18]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:44:18] [39/44] item 39 stratum=counterfactual — consulting
[20:44:38]   → ['reject', 'unparsed', 'unparsed'] = non_gold
[20:44:38] [40/44] item 40 stratum=counterfactual — consulting
[20:44:58]   → ['silver', 'gold', 'unparsed'] = non_gold
[20:44:58] [41/44] item 41 stratum=counterfactual — consulting
[20:45:33]   → ['silver', 'silver', 'silver'] = non_gold
[20:45:33] [42/44] item 42 stratum=counterfactual — consulting
[20:46:09]   → ['silver', 'unparsed', 'silver'] = non_gold
[20:46:09] [43/44] item 43 stratum=counterfactual — consulting
[20:46:37]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:46:37] [44/44] item 44 stratum=counterfactual — consulting
[20:47:01]   → ['reject', 'unparsed', 'unparsed'] = non_gold
[20:47:01] 
[20:47:01] === done ===
[20:47:01] processed: 44
[20:47:01] consensus gold (all 3): 0
[20:47:01] majority gold (≥2):     0
[20:47:01] summary → /home/sbarker/swarmops/.overnight/frontier_consensus_summary.json
